date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:28	269250/269250	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:18:36%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/17-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/17-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/wide-mouth-preform-moulds/)
14:08:28	149316/149316	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:26%20GMT	https://www.megamachinery.com/portfolio/6-cavity-wide-mouth-preform-mould-for-63mm-neck-finish/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/6-cavity-wide-mouth-preform-mould-for-63mm-neck-finish/index.html	(from https://www.megamachinery.com/products/pet-moulds/wide-mouth-preform-moulds/)
14:08:29	149257/149257	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:26%20GMT	https://www.megamachinery.com/portfolio/8-cavity-wide-mouth-preform-mould-for-110-mm-neck-finish/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/8-cavity-wide-mouth-preform-mould-for-110-mm-neck-finish/index.html	(from https://www.megamachinery.com/products/pet-moulds/wide-mouth-preform-moulds/)
14:08:31	5029/5029	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:38:29%20GMT	https://www.megamachinery.com/wp-json/wp/v2/pages/4725	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/wp/v2/pages/4725.json	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Apr%202025%2009:38:30%20GMT	https://www.megamachinery.com/?p=4725	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/indexbab7.html	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:33	2248/2248	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:38:30%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Fpet-moulds%2F5-gallon-preform-moulds%2F	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed892f.json	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:34	289687/289687	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:18:50%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/19-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/19-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/wide-mouth-preform-moulds/)
14:08:34	2401/2401	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Apr%202025%2009:38:32%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Fpet-moulds%2F5-gallon-preform-moulds%2F&format=xml	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed124f	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:38	180414/180414	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:28:42%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/15-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/15-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:39	149220/149220	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:34%20GMT	https://www.megamachinery.com/portfolio/4-cavity-thick-wall-preform-mould/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/4-cavity-thick-wall-preform-mould/index.html	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:40	187521/187521	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202020%2007:28:35%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/14-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/14-1.jpg	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:41	6530/6530	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:38:39%20GMT	https://www.megamachinery.com/wp-json/wp/v2/pages/4729	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/wp/v2/pages/4729.json	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:44	2238/2238	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:38:40%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Fpet-moulds%2Fcap-and-closure-mould%2F	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed74e4.json	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
14:08:44	149416/149416	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:39%20GMT	https://www.megamachinery.com/portfolio/5-gallon-preform-mould-for-one-way-using-5-gallon-pet-botte/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/5-gallon-preform-mould-for-one-way-using-5-gallon-pet-botte/index.html	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:44	149593/149593	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:38:39%20GMT	https://www.megamachinery.com/portfolio/4-cavity-5-gallon-preform-mould-for-returnable-5-gallon-pet-bottles/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/4-cavity-5-gallon-preform-mould-for-returnable-5-gallon-pet-bottles/index.html	(from https://www.megamachinery.com/products/pet-moulds/5-gallon-preform-moulds/)
14:08:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Apr%202025%2009:38:42%20GMT	https://www.megamachinery.com/?p=4729	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/indexc367.html	(from https://www.megamachinery.com/products/pet-moulds/cap-and-closure-mould/)
